+ 0.250000000000000 U1_bjck E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 U1_ckbj E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 U1_ckAj E_Ib C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 U1_bjAk E_Ic C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 U1_ckbI E_jA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.500000000000000 U1_ckAI E_jb C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 U1_bkAI E_jc C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 U1_bjcI E_kA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 U1_cjAI E_kb C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.500000000000000 U1_bjAI E_kc C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ac U1_Ajbk E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ab U1_Akcj E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.500000000000000 δ_Ac U1_bjAk E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.500000000000000 δ_Ik U1_bjcI E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ij U1_bkcI E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ik U1_cjbI E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.500000000000000 δ_Ab U1_ckAj E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.500000000000000 δ_Ij U1_ckbI E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ij U1_ckAI E_Ib C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ik U1_bjAI E_Ic C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ac U1_AIbk E_jA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ac U1_bIAk E_jA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ab U1_ckAI E_jA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ab U1_AIcj E_kA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
